Chapter,Type,Type#,Formula#,Path,latex
10,10.1,Definition,2,real_and_complex/10.1 Definition_10_2.jpg,$D^{\prime}(a ; r)=\{z: 0<|z-a|<r\}$
17,17.11,Theorem,2,real_and_complex/17.11 Theorem_17_2.jpg,"$\left(N_{\alpha} f\right)^{p} \leq\left(N_{\alpha} h\right)^{2}$,"
4,4.14,Theorem,5,real_and_complex/4.14 Theorem_4_5.jpg,$\sum_{\alpha \in F}|\hat{x}(\alpha)|^{2} \leq\|x\|^{2}$
20,20.5,Theorem,20,real_and_complex/20.5 Theorem_20_20.jpg,"$F(z)=\frac{1}{\pi} \iint(\bar{\partial} \Phi)(\zeta) R(\zeta, z) d \xi d \eta \quad(z \in \Omega)$"
19,19.9,Theorem,3,real_and_complex/19.9 Theorem_19_3.jpg,$f(x)=\sum_{n=0}^{\infty} \frac{\left(D^{n} f\right)(a)}{n !}(x-a)^{n}$
10,10.21,Theorem,4,real_and_complex/10.21 Theorem_10_4.jpg,$h(z)=\sum_{n=0}^{\infty} b_{n}(z-a)^{n} \quad(z \in D)$
20,20.2,Lemma,7,real_and_complex/20.2 Lemma_20_7.jpg,$|a| \geq \frac{r}{4}$.
10,10.10,Theorem,3,real_and_complex/10.10 Theorem_10_3.jpg,$\varphi(t)=\exp \left\{\int_{\alpha}^{t} \frac{\gamma^{\prime}(s)}{\gamma(s)-z} d s\right\} \quad(\alpha \leq t \leq \beta)$.
2,2.13,Theorem,15,real_and_complex/2.13 Theorem_2_15.jpg,"$B_{n}=\left(A_{n} \cap K\right)-\left(B_{1} \cup \cdots \cup B_{n-1}\right) \quad(n=2,3,4, \ldots)$"
19,19.1,Definition,1,real_and_complex/19.1 Definition_19_1.jpg,$f(z)=\int_{0}^{\infty} F(t) e^{i t z} d t \quad\left(z \in \Pi^{+}\right)$
1,1.28,Fatou’s,1,real_and_complex/1.28 Fatou’s Lemma_1_1.jpg,$\int_{X}\left(\underset{n \rightarrow \infty}{\liminf f_{n}}\right) d \mu \leq \liminf _{n \rightarrow \infty} \int_{X} f_{n} d \mu$.
10,10.39,Lemma,1,real_and_complex/10.39 Lemma_10_1.jpg,$\left|\gamma_{1}(s)-\gamma_{0}(s)\right|<\left|\alpha-\gamma_{0}(s)\right| \quad(0 \leq s \leq 1)$
11,11.30,Theorem,1,real_and_complex/11.30 Theorem_11_1.jpg,$\sup _{0<r<1}\left\|u_{r}\right\|_{p}=M<\infty$
5,5.21,Remark,1,real_and_complex/5.21 Remark_5_1.jpg,$\|f\|_{K}=\|f\|_{H} \quad(f \in A)$.
